kd_Tree_File,Query_File,Num_PEs,Pipeline,Merged_QQ,Split_Scratchpad,Scratchpad_0_Size,Scratchpad_0_Banks,Scratchpad_1_Size,Scratchpad_1_Banks,Scratchpad_2_Size,Scratchpad_2_Banks,Ideal,Queries_Processed,Nodes_Visited,Point_Accesses,Node_Accesses,Stack_Accesses,Conflicts,Stages_Stalled,Percent_Time_Stalled,Lines_Processed,Cycles,Avg_Cycles_per_Node
stat_input,stat_queries0.25_random,8,True,True,False,5000000,16,NA,NA,NA,NA,True,29814,477024,506048,506048,1577772,743571,0,0.0,18813218,115793,0.24274040719125242
stat_input,stat_queries0.25_random,1,True,False,False,5000000,16,NA,NA,NA,NA,True,29814,477024,506048,506048,1577772,170322,0,0.0,18813218,924643,1.9383573992084255
stat_input,stat_queries0.25,1,True,True,False,5000000,16,NA,NA,NA,NA,True,29814,477024,506048,506048,1577772,173005,0,0.0,18813218,924369,1.937783004628698
stat_input,stat_queries0.5,8,True,True,False,5000000,16,NA,NA,NA,NA,True,59628,954048,1011909,1011909,3154983,1178918,0,0.0,37619517,231369,0.24251295532300263
stat_input,stat_queries0.5,1,True,False,False,5000000,16,NA,NA,NA,NA,True,59628,954048,1011909,1011909,3154983,344089,0,0.0,37619517,1848749,1.937794534446904
stat_input,stat_queries0.25_random,16,True,True,False,5000000,16,NA,NA,NA,NA,True,29814,477024,506048,506048,1577772,957398,0,0.0,18813218,58151,0.12190371972898638
stat_input,stat_queries0.5_random,8,True,False,False,5000000,16,NA,NA,NA,NA,True,59628,954048,1011909,1011909,3154983,1864693,0,0.0,37619517,231551,0.24270372140605084
stat_input,stat_queries0.25_random,2,True,False,False,5000000,16,NA,NA,NA,NA,True,29814,477024,506048,506048,1577772,327135,0,0.0,18813218,462551,0.9696598074729993
stat_input,stat_queries0.25,2,True,True,False,5000000,16,NA,NA,NA,NA,True,29814,477024,506048,506048,1577772,291061,0,0.0,18813218,462569,0.9696975414234923
stat_input,stat_queries0.25_random,4,True,False,False,5000000,16,NA,NA,NA,NA,True,29814,477024,506048,506048,1577772,571811,0,0.0,18813218,231477,0.4852523143489636
stat_input,stat_queries0.25_random,32,True,True,False,5000000,16,NA,NA,NA,NA,True,29814,477024,506048,506048,1577772,1102238,0,0.0,18813218,29350,0.06152730260951231
stat_input,stat_queries0.25,4,True,True,False,5000000,16,NA,NA,NA,NA,True,29814,477024,506048,506048,1577772,439238,0,0.0,18813218,231584,0.485476621721339
stat_input,stat_queries,8,True,False,False,5000000,16,NA,NA,NA,NA,True,119254,1908064,2023529,2023529,6309095,3624013,0,0.0,75228335,462442,0.24236189142502557
stat_input,stat_queries0.5,2,True,False,False,5000000,16,NA,NA,NA,NA,True,59628,954048,1011909,1011909,3154983,656071,0,0.0,37619517,924692,0.969230059703495
stat_input,stat_queries_random,1,True,True,False,5000000,16,NA,NA,NA,NA,True,119254,1908064,2023529,2023529,6309095,675151,0,0.0,75228335,3697186,1.9376635165277476
stat_input,stat_queries0.5,16,True,True,False,5000000,16,NA,NA,NA,NA,True,59628,954048,1011909,1011909,3154983,1475898,0,0.0,37619517,115794,0.12137125176091769
stat_input,stat_queries0.25_random,64,True,True,False,5000000,16,NA,NA,NA,NA,True,29814,477024,506048,506048,1577772,1179971,0,0.0,18813218,14719,0.03085588985040585
stat_input,stat_queries0.25_random,8,True,False,False,5000000,16,NA,NA,NA,NA,True,29814,477024,506048,506048,1577772,878772,0,0.0,18813218,115864,0.24288924666264172
stat_input,stat_queries0.5_random,16,True,False,False,5000000,16,NA,NA,NA,NA,True,59628,954048,1011909,1011909,3154983,2472905,0,0.0,37619517,115943,0.12152742838934728
stat_input,stat_queries0.25,8,True,True,False,5000000,16,NA,NA,NA,NA,True,29814,477024,506048,506048,1577772,577964,0,0.0,18813218,115788,0.2427299255383377
stat_input,stat_queries0.25,1,True,False,False,5000000,16,NA,NA,NA,NA,True,29814,477024,506048,506048,1577772,173005,0,0.0,18813218,924369,1.937783004628698
stat_input,stat_queries0.25_random,16,True,False,False,5000000,16,NA,NA,NA,NA,True,29814,477024,506048,506048,1577772,1161030,0,0.0,18813218,58366,0.12235443080432012
stat_input,stat_queries0.25,16,True,True,False,5000000,16,NA,NA,NA,NA,True,29814,477024,506048,506048,1577772,704501,0,0.0,18813218,58145,0.1218911417454887
stat_input,stat_queries0.5,4,True,False,False,5000000,16,NA,NA,NA,NA,True,59628,954048,1011909,1011909,3154983,1122089,0,0.0,37619517,462602,0.4848833601663648
stat_input,stat_queries0.5,32,True,True,False,5000000,16,NA,NA,NA,NA,True,59628,954048,1011909,1011909,3154983,1634577,0,0.0,37619517,58138,0.06093823371570403
stat_input,stat_queries0.25,2,True,False,False,5000000,16,NA,NA,NA,NA,True,29814,477024,506048,506048,1577772,325617,0,0.0,18813218,462447,0.9694417890923727
stat_input,stat_queries0.25_random,32,True,False,False,5000000,16,NA,NA,NA,NA,True,29814,477024,506048,506048,1577772,1228033,0,0.0,18813218,29726,0.06231552290870061
stat_input,stat_queries0.5_random,32,True,False,False,5000000,16,NA,NA,NA,NA,True,59628,954048,1011909,1011909,3154983,2608898,0,0.0,37619517,58406,0.06121914201381901
stat_input,stat_queries0.25,32,True,True,False,5000000,16,NA,NA,NA,NA,True,29814,477024,506048,506048,1577772,758931,0,0.0,18813218,29368,0.061565036560005365
stat_input,stat_queries0.25,4,True,False,False,5000000,16,NA,NA,NA,NA,True,29814,477024,506048,506048,1577772,540015,0,0.0,18813218,231494,0.4852879519688737
stat_input,stat_queries0.25_random,64,True,False,False,5000000,16,NA,NA,NA,NA,True,29814,477024,506048,506048,1577772,1278313,0,0.0,18813218,14968,0.0313778761655598
stat_input,stat_queries0.25,64,True,True,False,5000000,16,NA,NA,NA,NA,True,29814,477024,506048,506048,1577772,853820,0,0.0,18813218,14712,0.030841215536325215
stat_input,stat_queries0.5,8,True,False,False,5000000,16,NA,NA,NA,NA,True,59628,954048,1011909,1011909,3154983,1704950,0,0.0,37619517,231457,0.2426051938686523
stat_input,stat_queries_random,2,True,True,False,5000000,16,NA,NA,NA,NA,True,119254,1908064,2023529,2023529,6309095,1255587,0,0.0,75228335,1848975,0.9690319611920775
stat_input,stat_queries,16,True,False,False,5000000,16,NA,NA,NA,NA,True,119254,1908064,2023529,2023529,6309095,4279322,0,0.0,75228335,231612,0.12138586546363225
stat_input,stat_queries0.25,8,True,False,False,5000000,16,NA,NA,NA,NA,True,29814,477024,506048,506048,1577772,766806,0,0.0,18813218,116058,0.24329593479573355
stat_input,stat_queries0.5,64,True,True,False,5000000,16,NA,NA,NA,NA,True,59628,954048,1011909,1011909,3154983,1800748,0,0.0,37619517,29315,0.03072696551955457
stat_input,stat_queries0.25_random,1,True,True,False,5000000,16,NA,NA,NA,NA,True,29814,477024,506048,506048,1577772,170322,0,0.0,18813218,924643,1.9383573992084255
stat_input,stat_queries0.5_random,64,True,False,False,5000000,16,NA,NA,NA,NA,True,59628,954048,1011909,1011909,3154983,2882686,0,0.0,37619517,29609,0.03103512611524787
stat_input,stat_queries0.25,16,True,False,False,5000000,16,NA,NA,NA,NA,True,29814,477024,506048,506048,1577772,825696,0,0.0,18813218,58460,0.1225514858791172
stat_input,stat_queries0.25_random,2,True,True,False,5000000,16,NA,NA,NA,NA,True,29814,477024,506048,506048,1577772,315741,0,0.0,18813218,462283,0.9690979908767693
stat_input,stat_queries0.5_random,1,True,False,False,5000000,16,NA,NA,NA,NA,True,59628,954048,1011909,1011909,3154983,338408,0,0.0,37619517,1848598,1.9376362614878917
stat_input,stat_queries0.5,16,True,False,False,5000000,16,NA,NA,NA,NA,True,59628,954048,1011909,1011909,3154983,1827811,0,0.0,37619517,115931,0.1215148504058496
stat_input,stat_queries0.25,32,True,False,False,5000000,16,NA,NA,NA,NA,True,29814,477024,506048,506048,1577772,910486,0,0.0,18813218,29661,0.06217926142080902
stat_input,stat_queries0.25_random,4,True,True,False,5000000,16,NA,NA,NA,NA,True,29814,477024,506048,506048,1577772,518481,0,0.0,18813218,231604,0.4855185483329979
stat_input,stat_queries0.5_random,1,True,True,False,5000000,16,NA,NA,NA,NA,True,59628,954048,1011909,1011909,3154983,338408,0,0.0,37619517,1848598,1.9376362614878917
stat_input,stat_queries0.25,64,True,False,False,5000000,16,NA,NA,NA,NA,True,29814,477024,506048,506048,1577772,1005123,0,0.0,18813218,14863,0.031157761454350306
stat_input,stat_queries0.5_random,2,True,False,False,5000000,16,NA,NA,NA,NA,True,59628,954048,1011909,1011909,3154983,677452,0,0.0,37619517,924515,0.9690445344469042
stat_input,stat_queries0.5,32,True,False,False,5000000,16,NA,NA,NA,NA,True,59628,954048,1011909,1011909,3154983,2104659,0,0.0,37619517,58391,0.061203419534446905
stat_input,stat_queries_random,4,True,True,False,5000000,16,NA,NA,NA,NA,True,119254,1908064,2023529,2023529,6309095,2077256,0,0.0,75228335,924590,0.48456969996813526
stat_input,stat_queries,32,True,False,False,5000000,16,NA,NA,NA,NA,True,119254,1908064,2023529,2023529,6309095,4871026,0,0.0,75228335,115998,0.06079355828735304
stat_input,stat_queries_random,1,True,False,False,5000000,16,NA,NA,NA,NA,True,119254,1908064,2023529,2023529,6309095,675151,0,0.0,75228335,3697186,1.9376635165277476
stat_input,stat_queries0.5_random,2,True,True,False,5000000,16,NA,NA,NA,NA,True,59628,954048,1011909,1011909,3154983,626198,0,0.0,37619517,924379,0.9689019839672637
stat_input,stat_queries0.5,64,True,False,False,5000000,16,NA,NA,NA,NA,True,59628,954048,1011909,1011909,3154983,2216725,0,0.0,37619517,29527,0.03094917656134702
stat_input,stat_queries0.5_random,4,True,False,False,5000000,16,NA,NA,NA,NA,True,59628,954048,1011909,1011909,3154983,1191014,0,0.0,37619517,462619,0.48490117897631985
stat_input,stat_queries0.5_random,4,True,True,False,5000000,16,NA,NA,NA,NA,True,59628,954048,1011909,1011909,3154983,1033616,0,0.0,37619517,462503,0.4847795918025089
stat_input,stat_queries_random,8,True,True,False,5000000,16,NA,NA,NA,NA,True,119254,1908064,2023529,2023529,6309095,3058047,0,0.0,75228335,462298,0.24228642225837288
stat_input,stat_queries0.5,1,True,True,False,5000000,16,NA,NA,NA,NA,True,59628,954048,1011909,1011909,3154983,344089,0,0.0,37619517,1848749,1.937794534446904
stat_input,stat_queries_random,2,True,False,False,5000000,16,NA,NA,NA,NA,True,119254,1908064,2023529,2023529,6309095,1346546,0,0.0,75228335,1848973,0.9690309130092072
stat_input,stat_queries,64,True,False,False,5000000,16,NA,NA,NA,NA,True,119254,1908064,2023529,2023529,6309095,4957655,0,0.0,75228335,58379,0.030595933889010014
stat_input,stat_queries0.5_random,8,True,True,False,5000000,16,NA,NA,NA,NA,True,59628,954048,1011909,1011909,3154983,1505444,0,0.0,37619517,231281,0.2424207167773529
stat_input,stat_queries0.5,2,True,True,False,5000000,16,NA,NA,NA,NA,True,59628,954048,1011909,1011909,3154983,580107,0,0.0,37619517,924500,0.969028811967532
stat_input,stat_queries0.5_random,16,True,True,False,5000000,16,NA,NA,NA,NA,True,59628,954048,1011909,1011909,3154983,1973733,0,0.0,37619517,115801,0.12137858891795801
stat_input,stat_queries_random,16,True,True,False,5000000,16,NA,NA,NA,NA,True,119254,1908064,2023529,2023529,6309095,3981802,0,0.0,75228335,231592,0.12137538363493049
stat_input,stat_queries_random,4,True,False,False,5000000,16,NA,NA,NA,NA,True,119254,1908064,2023529,2023529,6309095,2393327,0,0.0,75228335,924508,0.484526724470458
stat_input,stat_queries0.5,4,True,True,False,5000000,16,NA,NA,NA,NA,True,59628,954048,1011909,1011909,3154983,880728,0,0.0,37619517,462280,0.48454585094251024
stat_input,stat_queries,1,True,True,False,5000000,16,NA,NA,NA,NA,True,119254,1908064,2023529,2023529,6309095,692357,0,0.0,75228335,3697069,1.937602197829842
stat_input,stat_queries0.5_random,32,True,True,False,5000000,16,NA,NA,NA,NA,True,59628,954048,1011909,1011909,3154983,2302437,0,0.0,37619517,58132,0.06093194472395519
stat_input,stat_queries0.5_random,64,True,True,False,5000000,16,NA,NA,NA,NA,True,59628,954048,1011909,1011909,3154983,2495198,0,0.0,37619517,29317,0.030729061850137518
stat_input,stat_queries_random,32,True,True,False,5000000,16,NA,NA,NA,NA,True,119254,1908064,2023529,2023529,6309095,4729142,0,0.0,75228335,115818,0.060699221829037184
stat_input,stat_queries_random,8,True,False,False,5000000,16,NA,NA,NA,NA,True,119254,1908064,2023529,2023529,6309095,3871696,0,0.0,75228335,462522,0.24240381873983263
stat_input,stat_queries,2,True,True,False,5000000,16,NA,NA,NA,NA,True,119254,1908064,2023529,2023529,6309095,1177840,0,0.0,75228335,1848623,0.9688474810069264
stat_input,stat_queries_random,64,True,True,False,5000000,16,NA,NA,NA,NA,True,119254,1908064,2023529,2023529,6309095,5151829,0,0.0,75228335,58200,0.030502121522129236
stat_input,stat_queries_random,16,True,False,False,5000000,16,NA,NA,NA,NA,True,119254,1908064,2023529,2023529,6309095,5239780,0,0.0,75228335,231547,0.12135179952035152
stat_input,stat_queries,4,True,True,False,5000000,16,NA,NA,NA,NA,True,119254,1908064,2023529,2023529,6309095,1785556,0,0.0,75228335,924388,0.48446383349824745
stat_input,stat_queries,1,True,False,False,5000000,16,NA,NA,NA,NA,True,119254,1908064,2023529,2023529,6309095,692357,0,0.0,75228335,3697069,1.937602197829842
stat_input,stat_queries,8,True,True,False,5000000,16,NA,NA,NA,NA,True,119254,1908064,2023529,2023529,6309095,2405436,0,0.0,75228335,462655,0.24247352290069935
stat_input,stat_queries_random,32,True,False,False,5000000,16,NA,NA,NA,NA,True,119254,1908064,2023529,2023529,6309095,5701579,0,0.0,75228335,115995,0.06079198601304778
stat_input,stat_queries,2,True,False,False,5000000,16,NA,NA,NA,NA,True,119254,1908064,2023529,2023529,6309095,1331355,0,0.0,75228335,1848772,0.9689255706307546
stat_input,stat_queries,16,True,True,False,5000000,16,NA,NA,NA,NA,True,119254,1908064,2023529,2023529,6309095,2985655,0,0.0,75228335,231625,0.1213926786522884
stat_input,stat_queries_random,64,True,False,False,5000000,16,NA,NA,NA,NA,True,119254,1908064,2023529,2023529,6309095,5964056,0,0.0,75228335,58487,0.030652535763999532
stat_input,stat_queries,4,True,False,False,5000000,16,NA,NA,NA,NA,True,119254,1908064,2023529,2023529,6309095,2354793,0,0.0,75228335,924554,0.4845508326764721
stat_input,stat_queries,32,True,True,False,5000000,16,NA,NA,NA,NA,True,119254,1908064,2023529,2023529,6309095,3411482,0,0.0,75228335,115800,0.0606897881832056
stat_input,stat_queries,64,True,True,False,5000000,16,NA,NA,NA,NA,True,119254,1908064,2023529,2023529,6309095,3891448,0,0.0,75228335,58109,0.030454429201536216
